name_of_the_slum,created_at,updated_at,the_geom,circle_number,ward_number,population,households,number_of_bpl_households,minority,caste_general,caste_sc,caste_st,caste_obc,literacy_literates,literacy_illiterates,tenure_patta,tenure_possession_certificate,tenure_private_land,tenure_public,tenure_rented,tenure_others,structure_pucca,structure_semipucca,structure_kuccha,avg_monthly_income,avg_monthly_expenditure,debts_outstanding,zerotoone_years_of_stay,onetothree_years_of_stay,threetofive_years_of_stay,morethanfive_years_of_stay,female_headed_households,age
Nirmal Nagar,0046-06-13 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000060000000000003461A2534064888BE68C7D3140000000286DA253403D774F76967E3140000000E474A2534078009DC7937E31400000007C73A253406A9403A5D27D3140000000DC6DA253408FBA1E89877D31400000003461A2534064888BE68C7D3140,16,134,1576,377,222,19,28,313,3,33,1479,97,232,9,2,0,131,3,282,93,2,4769,4598,58836,8,11,12,346,71,
Gandhi Nagar,0050-02-06 00:00:00.68-04:56:02,01:28.4,0106000020E610000001000000010300000001000000050000000000007E15A45340EA399040EC7A3140000000AEE5A35340EB0E2906367B3140000000C9F7A35340BC163E66AD7B3140000000751EA45340A967F3A6677B31400000007E15A45340EA399040EC7A3140,1,1,3393,862,742,45,107,366,39,350,2928,465,283,77,0,0,499,3,610,213,39,4893,4784,40130,32,25,31,774,85,
ST Colony,0054-08-08 00:00:00.68-04:56:02,01:32.4,0106000020E61000000100000001030000000100000007000000000000653DA453402FA3F7C0597C31400000008919A45340434CF200847C3140000000CF1EA453400385D4FEBA7C31400000005E26A453409BEA1BD5D77C31400000007B45A453400385D4FEBA7C31400000000840A453408FA80907887C3140000000653DA453402FA3F7C0597C3140,1,1,740,181,168,5,15,18,118,30,554,186,73,25,0,11,71,1,114,66,1,4704,5046,37514,3,12,2,164,24,
Kapra Old Village,0056-10-16 00:00:00.68-04:56:02,01:43.1,0106000020E61000000100000001030000000100000009000000D0E3FFA745A45340DD0D81A7B97C3140A5AA013126A4534045147229D77C31408A35012B2CA45340509EC3C6067D31409C00FD9D31A453405EA0A4C0027D31403FC3FE5F33A45340EE26B68A177D31402E21FEE543A453401D28C7CF0C7D31409EB604E850A45340C798A2F9EF7C314043A9FFA448A4534045147229D77C3140D0E3FFA745A45340DD0D81A7B97C3140,1,1,1262,320,286,43,44,75,3,198,1056,206,176,92,2,0,49,1,133,151,36,4253,6179,0,9,5,4,302,36,
Yellareddyguda,0063-02-10 00:00:00.68-04:56:02,01:48.9,0106000020E6100000010000000103000000010000000B000000000000AC32A45340F0F4F7F7B37E31400000001227A453406EBB61034A7E3140000000B826A45340F4486F691C7E31400000003E37A453402605BBBA197E3140000000463EA453405260DF993C7E3140000000CC4EA45340A44139F13D7E3140000000E256A45340A116205E867E3140000000FE58A453408CF29EA0B27E3140000000D248A45340FA67CAB8C27E31400000005C46A45340D7730D2B9D7E3140000000AC32A45340F0F4F7F7B37E3140,1,1,997,254,187,7,57,27,4,166,932,65,213,11,2,0,18,10,181,56,17,4132,4339,42728,7,3,7,237,31,
Vampuguda W SC,0052-10-09 00:00:00.68-04:56:02,01:55.9,0106000020E61000000100000001030000000100000007000000838FFB355DA4534076E4C42EBC7F3140F62FFFD76FA4534036C7DA5BA17F3140FAEC04246FA45340813A690A327F3140D2E7FE456BA453406D128B31137F314016B7FA7F4FA45340E72662F8257F3140620401F057A45340EEA27DE68B7F3140838FFB355DA4534076E4C42EBC7F3140,1,1,923,244,237,39,54,117,3,70,766,157,172,10,1,3,55,3,110,115,19,3721,3992,45012,1,1,1,241,65,
Vampuguda Village,0052-07-01 00:00:00.68-04:56:02,02:01.9,0106000020E610000001000000010300000001000000060000005D40FDA178A45340F42F30C8E97F3140E794FC5F60A45340E15D70FE0D803140F62FFFD76FA45340710DE0EB738031404993FF8783A4534020B7804C42803140A3C500267CA453403D7F1CC5208031405D40FDA178A45340F42F30C8E97F3140,1,1,255,68,64,2,39,3,0,26,222,33,45,1,9,0,12,1,32,29,7,2713,3490,28949,1,4,3,60,2,
Kushaiguda,0062-11-08 00:00:00.68-04:56:02,02:16.0,0106000020E6100000010000000103000000010000000700000000000038C4A453404C70B560597A31400000007E9CA45340CC8F451A9B7A3140000000CA9BA4534048941126837B314000000066E1A453400D1F9BA52E7B31400000006CDBA453405439C104FD7A3140000000DAD6A45340B830A1B9037B314000000038C4A453404C70B560597A3140,1,2,3372,839,682,22,134,93,11,601,3274,98,412,20,2,2,397,6,591,237,11,4240,4424,34949,95,21,10,713,141,30
Jammigadda,0012-05-06 00:00:00.68-04:56:02,02:38.3,0106000020E6100000010000000103000000010000000A000000000000A4DFA4534027BAA8ED3E7C314000000010CEA45340D8BF8FE73A7C31400000005AC0A453403E1455185B7C3140000000B4C0A4534041F63F98AF7C3140000000C4CEA45340A6C60B2E4B7D3140000000C4FBA45340B1275530147D314000000054F3A4534051272653BA7C314000000092F1A4534077858524637C3140000000C8E8A453406456E53C737C3140000000A4DFA4534027BAA8ED3E7C3140,1,2,4475,1130,704,44,79,76,36,939,4191,284,468,210,1,10,438,3,364,747,19,4674,4866,55830,33,25,34,1038,26,
BJR Colony,0013-05-05 00:00:00.68-04:56:02,02:46.1,0106000020E61000000100000001030000000100000005000000B66801DAD6A45340CEBBFB2D4B7D3140D5ECFD1DFCA45340E7A5C58D197D314000FD009C05A55340BFC70D7D7F7D3140447E0582E3A4534004E065A79B7D3140B66801DAD6A45340CEBBFB2D4B7D3140,1,2,1439,359,358,9,37,70,15,237,1278,161,2,157,1,0,196,3,148,210,1,4506,4806,91318,35,20,34,270,22,
